# Isotropic diffuse gamma-ray spectrum (IGRB)
# Source: Ackermann+2015 (arXiv:1410.3696, Table 3, Foreground Model A)
# Cholis+2022 external chi² constraint (Eq. 13)
# total errors = sqrt(stat² + asymmetric_sys²)
# converted from integrated intensity to differential dN/dE
#   E_geom = sqrt(Emin*Emax),  dN/dE = I / (Emax - Emin)
# columns: E[GeV]  dN/dE[1/GeV/cm²/s/sr]  lower_err  upper_err
1.183216e-01    7.000000e-05    2.704163e-05    1.520691e-05
1.673320e-01    2.833333e-05    1.201850e-05    6.871843e-06
2.366432e-01    1.375000e-05    6.250000e-06    3.952847e-06
3.346640e-01    5.583333e-06    2.603417e-06    1.765802e-06
4.774935e-01    2.647059e-06    1.109880e-06    7.180327e-07
6.752777e-01    1.434783e-06    5.089000e-07    3.135262e-07
9.380832e-01    6.333333e-07    2.426703e-07    1.490712e-07
1.326650e+00    2.200000e-07    8.246211e-08    6.324555e-08
1.918333e+00    8.571429e-08    4.022894e-08    4.022894e-08
2.712932e+00    4.333333e-08    2.048788e-08    2.157388e-08
3.794733e+00    1.769231e-08    8.770580e-09    1.026282e-08
5.366563e+00    7.894737e-09    3.328713e-09    4.340111e-09
7.631514e+00    3.555556e-09    1.513089e-09    2.075727e-09
1.087658e+01    1.948718e-09    5.963950e-10    8.352050e-10
1.529706e+01    8.000000e-10    2.416609e-10    4.123106e-10
2.163331e+01    3.250000e-10    9.519716e-11    1.546165e-10
3.059412e+01    1.600000e-10    4.472136e-11    7.280110e-11
4.284857e+01    7.333333e-11    2.108185e-11    2.748737e-11
6.059703e+01    3.000000e-11    8.946807e-12    1.025746e-11
8.485281e+01    1.285714e-11    3.992979e-12    4.315374e-12
1.183216e+02    3.750000e-12    1.250000e-12    1.457738e-12
1.673320e+02    1.633333e-12    5.467073e-13    5.600099e-13
2.408319e+02    5.222222e-13    2.006932e-13    2.082407e-13
3.448188e+02    2.666667e-13    1.100032e-13    1.152443e-13
4.876474e+02    4.294118e-14    3.605551e-14    3.884135e-14
