# Isotropic IGRB spectrum for gtsrcmaps FileFunction
# Source: Ackermann+2015 (arXiv:1410.3696) Table 3, Foreground Model A
# columns: E[MeV]  dN/dE[ph/cm²/s/MeV/sr]
  1.183216e+02    7.000000e-08
  1.673320e+02    2.833333e-08
  2.366432e+02    1.375000e-08
  3.346640e+02    5.583333e-09
  4.774935e+02    2.647059e-09
  6.752777e+02    1.434783e-09
  9.380832e+02    6.333333e-10
  1.326650e+03    2.200000e-10
  1.918333e+03    8.571429e-11
  2.712932e+03    4.333333e-11
  3.794733e+03    1.769231e-11
  5.366563e+03    7.894737e-12
  7.631514e+03    3.555556e-12
  1.087658e+04    1.948718e-12
  1.529706e+04    8.000000e-13
  2.163331e+04    3.250000e-13
  3.059412e+04    1.600000e-13
  4.284857e+04    7.333333e-14
  6.059703e+04    3.000000e-14
  8.485281e+04    1.285714e-14
  1.183216e+05    3.750000e-15
  1.673320e+05    1.633333e-15
  2.408319e+05    5.222222e-16
  3.448188e+05    2.666667e-16
  4.876474e+05    4.294118e-17
