case	state	r_value	mass_mode	custom_mass_min_GeV	custom_mass_max_GeV	mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
onshell_4b_r0p1	4b	0.1	baseline-plus-edges	96.27	1000.0	9.6270000000e+01	1.2881203647e-25	2.0918203855e-26	1.0000000000e+00	1.8394993224e+00	7.0513550059e+01	3.8401002827e+00
onshell_4b_r0p1	4b	0.1	baseline-plus-edges	96.27	1000.0	1.2224000000e+02	2.4621442995e-25	4.1559045028e-26	1.0000000000e+00	1.8235782747e+00	7.0393646165e+01	3.8403001023e+00
onshell_4b_r0p1	4b	0.1	baseline-plus-edges	96.27	1000.0	1.7078000000e+02	1.5377516157e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402571009e+00
onshell_4b_r0p1	4b	0.1	baseline-plus-edges	96.27	1000.0	2.3296000000e+02	8.1904181593e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400021387e+00
onshell_4b_r0p1	4b	0.1	baseline-plus-edges	96.27	1000.0	3.1778000000e+02	6.9012935383e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402463063e+00
onshell_4b_r0p1	4b	0.1	baseline-plus-edges	96.27	1000.0	4.4395000000e+02	8.1841834135e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400268861e+00
onshell_4b_r0p1	4b	0.1	baseline-plus-edges	96.27	1000.0	6.0559000000e+02	1.1510701926e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400430732e+00
onshell_4b_r0p1	4b	0.1	baseline-plus-edges	96.27	1000.0	8.4604000000e+02	1.8508095858e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402297897e+00
onshell_4b_r0p1	4b	0.1	baseline-plus-edges	96.27	1000.0	1.0000000000e+03	2.4224420273e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401463118e+00
onshell_4b_r0p2	4b	0.2	baseline-plus-edges	48.47	1000.0	4.8470000000e+01	9.0039776183e-27	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400135840e+00
onshell_4b_r0p2	4b	0.2	baseline-plus-edges	48.47	1000.0	6.6010000000e+01	2.9359645956e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401758976e+00
onshell_4b_r0p2	4b	0.2	baseline-plus-edges	48.47	1000.0	8.9900000000e+01	1.2277300590e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400891124e+00
onshell_4b_r0p2	4b	0.2	baseline-plus-edges	48.47	1000.0	1.2244000000e+02	1.8045729340e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400459506e+00
onshell_4b_r0p2	4b	0.2	baseline-plus-edges	48.47	1000.0	1.7197000000e+02	1.2092753693e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401877879e+00
onshell_4b_r0p2	4b	0.2	baseline-plus-edges	48.47	1000.0	2.3420000000e+02	8.3839407214e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400346348e+00
onshell_4b_r0p2	4b	0.2	baseline-plus-edges	48.47	1000.0	3.1894000000e+02	7.4379189344e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400599070e+00
onshell_4b_r0p2	4b	0.2	baseline-plus-edges	48.47	1000.0	4.4798000000e+02	8.5508681394e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401834105e+00
onshell_4b_r0p2	4b	0.2	baseline-plus-edges	48.47	1000.0	6.1008000000e+02	1.1721025979e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401847965e+00
onshell_4b_r0p2	4b	0.2	baseline-plus-edges	48.47	1000.0	8.3085000000e+02	1.7753431220e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402575506e+00
onshell_4b_r0p2	4b	0.2	baseline-plus-edges	48.47	1000.0	1.0000000000e+03	2.3947259713e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402293524e+00
onshell_4b_r0p3	4b	0.3	baseline-plus-edges	32.45	1000.0	3.2450000000e+01	8.5075674273e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400919361e+00
onshell_4b_r0p3	4b	0.3	baseline-plus-edges	32.45	1000.0	3.4800000000e+01	3.5685270581e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401912055e+00
onshell_4b_r0p3	4b	0.3	baseline-plus-edges	32.45	1000.0	4.7680000000e+01	1.8431886162e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400972517e+00
onshell_4b_r0p3	4b	0.3	baseline-plus-edges	32.45	1000.0	6.5320000000e+01	4.4534049104e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402090726e+00
onshell_4b_r0p3	4b	0.3	baseline-plus-edges	32.45	1000.0	8.9490000000e+01	1.0699230662e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401380458e+00
onshell_4b_r0p3	4b	0.3	baseline-plus-edges	32.45	1000.0	1.2260000000e+02	1.6923243317e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401002289e+00
onshell_4b_r0p3	4b	0.3	baseline-plus-edges	32.45	1000.0	1.6796000000e+02	1.2907942132e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400740375e+00
onshell_4b_r0p3	4b	0.3	baseline-plus-edges	32.45	1000.0	2.3011000000e+02	9.1947301036e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402563423e+00
onshell_4b_r0p3	4b	0.3	baseline-plus-edges	32.45	1000.0	3.2648000000e+02	7.9091467935e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401446949e+00
onshell_4b_r0p3	4b	0.3	baseline-plus-edges	32.45	1000.0	4.4729000000e+02	8.8108657829e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401716157e+00
onshell_4b_r0p3	4b	0.3	baseline-plus-edges	32.45	1000.0	6.1279000000e+02	1.1986807677e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401998310e+00
onshell_4b_r0p3	4b	0.3	baseline-plus-edges	32.45	1000.0	8.3954000000e+02	1.8225263578e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400379486e+00
onshell_4b_r0p3	4b	0.3	baseline-plus-edges	32.45	1000.0	1.0000000000e+03	2.3793759387e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400876660e+00
onshell_4b_r0p4	4b	0.4	baseline-plus-edges	24.41	1000.0	2.4410000000e+01	9.1739307022e-27	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400126565e+00
onshell_4b_r0p4	4b	0.4	baseline-plus-edges	24.41	1000.0	2.5350000000e+01	7.8380198598e-27	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8403454140e+00
onshell_4b_r0p4	4b	0.4	baseline-plus-edges	24.41	1000.0	3.4320000000e+01	1.9671074737e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400644770e+00
onshell_4b_r0p4	4b	0.4	baseline-plus-edges	24.41	1000.0	4.8270000000e+01	2.6888765420e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402371738e+00
onshell_4b_r0p4	4b	0.4	baseline-plus-edges	24.41	1000.0	6.5360000000e+01	5.5253506216e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402834088e+00
onshell_4b_r0p4	4b	0.4	baseline-plus-edges	24.41	1000.0	8.8500000000e+01	1.2589738113e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8403123940e+00
onshell_4b_r0p4	4b	0.4	baseline-plus-edges	24.41	1000.0	1.2446000000e+02	2.1715833032e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400665416e+00
onshell_4b_r0p4	4b	0.4	baseline-plus-edges	24.41	1000.0	1.6853000000e+02	1.5982427553e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401466918e+00
onshell_4b_r0p4	4b	0.4	baseline-plus-edges	24.41	1000.0	2.3700000000e+02	1.0511688046e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402472742e+00
onshell_4b_r0p4	4b	0.4	baseline-plus-edges	24.41	1000.0	3.2091000000e+02	8.6982736813e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401536187e+00
onshell_4b_r0p4	4b	0.4	baseline-plus-edges	24.41	1000.0	4.3453000000e+02	9.0749288301e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401572146e+00
onshell_4b_r0p4	4b	0.4	baseline-plus-edges	24.41	1000.0	6.1108000000e+02	1.1843647908e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401022597e+00
onshell_4b_r0p4	4b	0.4	baseline-plus-edges	24.41	1000.0	8.2743000000e+02	1.7837752106e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402104664e+00
onshell_4b_r0p4	4b	0.4	baseline-plus-edges	24.41	1000.0	1.0000000000e+03	2.4185507386e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400835215e+00
onshell_4b_r0p5	4b	0.5	baseline-plus-edges	19.57	1000.0	1.9570000000e+01	1.3258400660e-26	2.8433339709e-27	1.0000000000e+00	1.9080852154e+00	6.9506836008e+01	3.8403486980e+00
onshell_4b_r0p5	4b	0.5	baseline-plus-edges	19.57	1000.0	2.4900000000e+01	3.3056965976e-26	6.4543750294e-27	1.0000000000e+00	1.9111262404e+00	7.0075258488e+01	3.8404033935e+00
onshell_4b_r0p5	4b	0.5	baseline-plus-edges	19.57	1000.0	3.4330000000e+01	2.5488652040e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402443709e+00
