mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
1.0440000000e+01	1.4716841551e-24	4.0600177081e-25	1.0000000000e+00	2.0041670816e+00	6.7019979308e+01	3.8403700790e+00
2.5070000000e+01	9.0217366230e-26	2.2449149435e-26	1.0000000000e+00	1.9019022043e+00	6.7965138594e+01	3.8400799739e+00
3.4610000000e+01	9.2120815196e-26	1.4257500952e-26	1.0000000000e+00	1.9252442538e+00	7.0830142843e+01	3.8402179653e+00
4.7780000000e+01	7.6634278006e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8403125418e+00
6.5970000000e+01	9.4199495720e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402626645e+00
9.1080000000e+01	1.9539635385e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400463941e+00
1.2575000000e+02	5.4821569824e-25	3.3848898086e-26	1.0000000000e+00	1.9165930586e+00	7.1426269374e+01	3.8401842243e+00
1.7361000000e+02	8.0715499223e-25	5.2805631464e-26	1.0000000000e+00	1.8900264277e+00	7.1399164586e+01	3.8400180303e+00
2.2890000000e+02	3.1412528388e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401091488e+00
3.1602000000e+02	1.7754933449e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400226616e+00
4.3631000000e+02	1.7321638699e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402053044e+00
6.0239000000e+02	2.3256342920e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401789432e+00
8.3168000000e+02	3.5887433243e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402409078e+00
1.0000000000e+03	4.8777903958e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402104759e+00
