L_kpc	mDM_GeV	R_GV	flux
1	10.44	1.37331724e-01	6.93307092e-07
1	10.44	1.39801434e-01	7.29770834e-07
1	10.44	1.42315558e-01	7.68117225e-07
1	10.44	1.44874895e-01	8.08440770e-07
1	10.44	1.47480258e-01	8.50840511e-07
1	10.44	1.50132474e-01	8.95420224e-07
1	10.44	1.52832387e-01	9.42288635e-07
1	10.44	1.55580853e-01	9.91559631e-07
1	10.44	1.58378747e-01	1.04335249e-06
1	10.44	1.61226957e-01	1.09779210e-06
1	10.44	1.64126387e-01	1.15500924e-06
1	10.44	1.67077960e-01	1.21514077e-06
1	10.44	1.70082612e-01	1.27832994e-06
1	10.44	1.73141299e-01	1.34472664e-06
1	10.44	1.76254991e-01	1.41448767e-06
1	10.44	1.79424679e-01	1.48777705e-06
1	10.44	1.82651369e-01	1.56476630e-06
1	10.44	1.85936087e-01	1.64563473e-06
1	10.44	1.89279875e-01	1.73056980e-06
1	10.44	1.92683796e-01	1.81976739e-06
1	10.44	1.96148932e-01	1.91343215e-06
1	10.44	1.99676383e-01	2.01177774e-06
1	10.44	2.03267270e-01	2.11498669e-06
1	10.44	2.06922734e-01	2.22321985e-06
1	10.44	2.10643936e-01	2.33669782e-06
1	10.44	2.14432059e-01	2.45564825e-06
1	10.44	2.18288306e-01	2.58030636e-06
1	10.44	2.22213901e-01	2.71091493e-06
1	10.44	2.26210092e-01	2.84772423e-06
1	10.44	2.30278150e-01	2.99099201e-06
1	10.44	2.34419365e-01	3.14098341e-06
1	10.44	2.38635054e-01	3.29797085e-06
1	10.44	2.42926555e-01	3.46223390e-06
1	10.44	2.47295234e-01	3.63405904e-06
1	10.44	2.51742476e-01	3.81373946e-06
1	10.44	2.56269696e-01	4.00157475e-06
1	10.44	2.60878331e-01	4.19787061e-06
1	10.44	2.65569845e-01	4.40293841e-06
1	10.44	2.70345730e-01	4.61709467e-06
1	10.44	2.75207502e-01	4.84066054e-06
1	10.44	2.80156706e-01	5.07396114e-06
1	10.44	2.85194914e-01	5.31732485e-06
1	10.44	2.90323726e-01	5.57108250e-06
1	10.44	2.95544773e-01	5.83556646e-06
1	10.44	3.00859713e-01	6.11110963e-06
1	10.44	3.06270234e-01	6.39804434e-06
1	10.44	3.11778056e-01	6.69670108e-06
1	10.44	3.17384927e-01	7.00740721e-06
1	10.44	3.23092630e-01	7.33048556e-06
1	10.44	3.28902978e-01	7.66625286e-06
1	10.44	3.34817816e-01	8.01501792e-06
