L_kpc	mDM_GeV	R_GV	flux
1	9.4	1.37331724e-01	3.52438800e-05
1	9.4	1.39801434e-01	3.70918838e-05
1	9.4	1.42315558e-01	3.90349162e-05
1	9.4	1.44874895e-01	4.10777200e-05
1	9.4	1.47480258e-01	4.32252638e-05
1	9.4	1.50132474e-01	4.54827512e-05
1	9.4	1.52832387e-01	4.78556317e-05
1	9.4	1.55580853e-01	5.03496108e-05
1	9.4	1.58378747e-01	5.29706611e-05
1	9.4	1.61226957e-01	5.57250334e-05
1	9.4	1.64126387e-01	5.86192688e-05
1	9.4	1.67077960e-01	6.16602106e-05
1	9.4	1.70082612e-01	6.48550164e-05
1	9.4	1.73141299e-01	6.82111714e-05
1	9.4	1.76254991e-01	7.17365019e-05
1	9.4	1.79424679e-01	7.54391903e-05
1	9.4	1.82651369e-01	7.93277906e-05
1	9.4	1.85936087e-01	8.34112409e-05
1	9.4	1.89279875e-01	8.76988786e-05
1	9.4	1.92683796e-01	9.22004563e-05
1	9.4	1.96148932e-01	9.69261559e-05
1	9.4	1.99676383e-01	1.01886602e-04
1	9.4	2.03267270e-01	1.07090658e-04
1	9.4	2.06922734e-01	1.12545949e-04
1	9.4	2.10643936e-01	1.18263312e-04
1	9.4	2.14432059e-01	1.24253905e-04
1	9.4	2.18288306e-01	1.30529238e-04
1	9.4	2.22213901e-01	1.37101166e-04
1	9.4	2.26210092e-01	1.43981884e-04
1	9.4	2.30278150e-01	1.51183921e-04
1	9.4	2.34419365e-01	1.58720135e-04
1	9.4	2.38635054e-01	1.66603698e-04
1	9.4	2.42926555e-01	1.74848091e-04
1	9.4	2.47295234e-01	1.83467085e-04
1	9.4	2.51742476e-01	1.92474723e-04
1	9.4	2.56269696e-01	2.01885302e-04
1	9.4	2.60878331e-01	2.11713358e-04
1	9.4	2.65569845e-01	2.21973628e-04
1	9.4	2.70345730e-01	2.32681025e-04
1	9.4	2.75207502e-01	2.43850601e-04
1	9.4	2.80156706e-01	2.55497504e-04
1	9.4	2.85194914e-01	2.67636937e-04
1	9.4	2.90323726e-01	2.80284109e-04
1	9.4	2.95544773e-01	2.93454174e-04
1	9.4	3.00859713e-01	3.07162176e-04
1	9.4	3.06270234e-01	3.21422979e-04
1	9.4	3.11778056e-01	3.36251191e-04
1	9.4	3.17384927e-01	3.51661090e-04
1	9.4	3.23092630e-01	3.67666545e-04
1	9.4	3.28902978e-01	3.84280931e-04
1	9.4	3.34817816e-01	4.01517012e-04
1	9.4	3.40839024e-01	4.19386835e-04
1	9.4	3.46968515e-01	4.37901611e-04
1	9.4	3.53208235e-01	4.57071590e-04
1	9.4	3.59560168e-01	4.76905924e-04
1	9.4	3.66026331e-01	4.97412531e-04
1	9.4	3.72608778e-01	5.18597938e-04
1	9.4	3.79309601e-01	5.40467162e-04
1	9.4	3.86130928e-01	5.63023532e-04
1	9.4	3.93074927e-01	5.86268504e-04
1	9.4	4.00143804e-01	6.10201477e-04
1	9.4	4.07339804e-01	6.34819611e-04
1	9.4	4.14665214e-01	6.60117624e-04
1	9.4	4.22122360e-01	6.86087623e-04
1	9.4	4.29713613e-01	7.12719032e-04
1	9.4	4.37441382e-01	7.39998352e-04
1	9.4	4.45308125e-01	7.67908910e-04
1	9.4	4.53316339e-01	7.96430668e-04
1	9.4	4.61468569e-01	8.25540020e-04
1	9.4	4.69767406e-01	8.55209790e-04
1	9.4	4.78215484e-01	8.85409573e-04
1	9.4	4.86815489e-01	9.16105274e-04
1	9.4	4.95570152e-01	9.47258878e-04
1	9.4	5.04482256e-01	9.78828360e-04
1	9.4	5.13554630e-01	1.01076823e-03
1	9.4	5.22790158e-01	1.04303118e-03
1	9.4	5.32191773e-01	1.07556705e-03
1	9.4	5.41762462e-01	1.10832265e-03
1	9.4	5.51505266e-01	1.14124240e-03
1	9.4	5.61423281e-01	1.17427441e-03
1	9.4	5.71519656e-01	1.20737049e-03
1	9.4	5.81797600e-01	1.24048371e-03
1	9.4	5.92260377e-01	1.27357047e-03
1	9.4	6.02911312e-01	1.30660459e-03
1	9.4	6.13753789e-01	1.33957594e-03
1	9.4	6.24791252e-01	1.37248560e-03
1	9.4	6.36027207e-01	1.40536900e-03
1	9.4	6.47465225e-01	1.43834079e-03
1	9.4	6.59108938e-01	1.47156522e-03
1	9.4	6.70962047e-01	1.50520177e-03
1	9.4	6.83028317e-01	1.53908481e-03
1	9.4	6.95311580e-01	1.57283410e-03
1	9.4	7.07815740e-01	1.60600873e-03
1	9.4	7.20544769e-01	1.63835148e-03
1	9.4	7.33502712e-01	1.66973013e-03
1	9.4	7.46693683e-01	1.70000376e-03
1	9.4	7.60121875e-01	1.72899646e-03
1	9.4	7.73791554e-01	1.75650756e-03
1	9.4	7.87707061e-01	1.78233568e-03
1	9.4	8.01872819e-01	1.80631017e-03
1	9.4	8.16293327e-01	1.82826593e-03
1	9.4	8.30973166e-01	1.84804271e-03
1	9.4	8.45917001e-01	1.86548740e-03
1	9.4	8.61129579e-01	1.88045535e-03
1	9.4	8.76615733e-01	1.89282540e-03
1	9.4	8.92380383e-01	1.90249462e-03
1	9.4	9.08428537e-01	1.90943237e-03
1	9.4	9.24765293e-01	1.91366892e-03
1	9.4	9.41395842e-01	1.91525549e-03
1	9.4	9.58325468e-01	1.91426181e-03
1	9.4	9.75559547e-01	1.91104576e-03
1	9.4	9.93103556e-01	1.90665735e-03
1	9.4	1.01096307e+00	1.90187200e-03
1	9.4	1.02914376e+00	1.89615454e-03
1	9.4	1.04765140e+00	1.88867957e-03
1	9.4	1.06649188e+00	1.87874694e-03
1	9.4	1.08567117e+00	1.86575607e-03
1	9.4	1.10519538e+00	1.84938470e-03
1	9.4	1.12507070e+00	1.82941057e-03
1	9.4	1.14530345e+00	1.80569287e-03
