L_kpc	mDM_GeV	R_GV	flux
1	30.72	1.37331724e-01	2.36587583e-13
1	30.72	1.39801434e-01	2.53005095e-13
1	30.72	1.42315558e-01	2.70623252e-13
1	30.72	1.44874895e-01	2.89534933e-13
1	30.72	1.47480258e-01	3.09840632e-13
1	30.72	1.50132474e-01	3.31649115e-13
1	30.72	1.52832387e-01	3.55078146e-13
1	30.72	1.55580853e-01	3.80255271e-13
1	30.72	1.58378747e-01	4.07318681e-13
1	30.72	1.61226957e-01	4.36418157e-13
1	30.72	1.64126387e-01	4.67716093e-13
1	30.72	1.67077960e-01	5.01388627e-13
1	30.72	1.70082612e-01	5.37626874e-13
1	30.72	1.73141299e-01	5.76638271e-13
1	30.72	1.76254991e-01	6.18648044e-13
1	30.72	1.79424679e-01	6.63900528e-13
1	30.72	1.82651369e-01	7.12660857e-13
1	30.72	1.85936087e-01	7.65217033e-13
1	30.72	1.89279875e-01	8.21881992e-13
1	30.72	1.92683796e-01	8.82995871e-13
1	30.72	1.96148932e-01	9.48928565e-13
1	30.72	1.99676383e-01	1.02008271e-12
1	30.72	2.03267270e-01	1.09705546e-12
1	30.72	2.06922734e-01	1.18062291e-12
1	30.72	2.10643936e-01	1.27142800e-12
1	30.72	2.14432059e-01	1.37018620e-12
1	30.72	2.18288306e-01	1.47769222e-12
1	30.72	2.22213901e-01	1.59483001e-12
1	30.72	2.26210092e-01	1.72258391e-12
1	30.72	2.30278150e-01	1.86205123e-12
1	30.72	2.34419365e-01	2.01445648e-12
1	30.72	2.38635054e-01	2.18116757e-12
1	30.72	2.42926555e-01	2.36371409e-12
1	30.72	2.47295234e-01	2.56380829e-12
1	30.72	2.51742476e-01	2.78336877e-12
1	30.72	2.56269696e-01	3.02455641e-12
1	30.72	2.60878331e-01	3.28984126e-12
1	30.72	2.65569845e-01	3.58203389e-12
1	30.72	2.70345730e-01	3.90433219e-12
1	30.72	2.75207502e-01	4.26038477e-12
1	30.72	2.80156706e-01	4.65436677e-12
1	30.72	2.85194914e-01	5.09107035e-12
1	30.72	2.90323726e-01	5.57601397e-12
1	30.72	2.95544773e-01	6.11557397e-12
1	30.72	3.00859713e-01	6.71714473e-12
1	30.72	3.06270234e-01	7.38933386e-12
1	30.72	3.11778056e-01	8.14220097e-12
1	30.72	3.17384927e-01	8.98745332e-12
1	30.72	3.23092630e-01	9.93760626e-12
1	30.72	3.28902978e-01	1.10058840e-11
1	30.72	3.34817816e-01	1.22067136e-11
1	30.72	3.40839024e-01	1.35556122e-11
1	30.72	3.46968515e-01	1.50689486e-11
1	30.72	3.53208235e-01	1.67635405e-11
1	30.72	3.59560168e-01	1.86560209e-11
1	30.72	3.66026331e-01	2.07619093e-11
1	30.72	3.72608778e-01	2.30952656e-11
1	30.72	3.79309601e-01	2.56741743e-11
1	30.72	3.86130928e-01	2.85198196e-11
1	30.72	3.93074927e-01	3.16543481e-11
1	30.72	4.00143804e-01	3.51007751e-11
1	30.72	4.07339804e-01	3.88828945e-11
1	30.72	4.14665214e-01	4.30251916e-11
1	30.72	4.22122360e-01	4.75529154e-11
1	30.72	4.29713613e-01	5.24930793e-11
1	30.72	4.37441382e-01	5.78745669e-11
1	30.72	4.45308125e-01	6.37282846e-11
1	30.72	4.53316339e-01	7.00877917e-11
1	30.72	4.61468569e-01	7.69902284e-11
1	30.72	4.69767406e-01	8.44754244e-11
1	30.72	4.78215484e-01	9.25806382e-11
1	30.72	4.86815489e-01	1.01343789e-10
1	30.72	4.95570152e-01	1.10805173e-10
1	30.72	5.04482256e-01	1.21008315e-10
1	30.72	5.13554630e-01	1.31998842e-10
1	30.72	5.22790158e-01	1.43818858e-10
1	30.72	5.32191773e-01	1.56510564e-10
1	30.72	5.41762462e-01	1.70118065e-10
1	30.72	5.51505266e-01	1.84687512e-10
