mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
2.6060000000e+01	3.6704659266e-21	3.7706421777e-22	1.0000000000e+00	2.0037421340e+00	7.1355249823e+01	3.8402001524e+00
3.5170000000e+01	6.0025694862e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402645808e+00
4.7460000000e+01	1.5842630066e-20	5.6080253813e-22	1.0000000000e+00	2.0126537922e+00	7.1522443157e+01	3.8401064400e+00
6.4050000000e+01	1.8129996756e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401331727e+00
9.0870000000e+01	6.0715282161e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400230178e+00
1.2264000000e+02	3.8532971154e-21	4.1537041985e-22	1.0000000000e+00	1.8699474836e+00	7.1166865843e+01	3.8403333590e+00
1.7399000000e+02	9.6990331658e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400937685e+00
2.3481000000e+02	9.8545511404e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400434486e+00
3.1689000000e+02	9.6891902279e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402356274e+00
4.4958000000e+02	1.7334922676e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400666847e+00
6.0674000000e+02	1.7846901093e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402354633e+00
8.1885000000e+02	3.2870128683e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401843828e+00
1.0000000000e+03	3.6067220257e-21	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401601079e+00
