mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
7.0000000000e+00	9.6850406931e-25	2.4087443857e-25	1.0000000000e+00	1.9908498868e+00	6.8936556470e+01	3.8400966193e+00
9.6293012000e+00	1.3854881956e-25	3.8821969099e-26	1.0000000000e+00	1.9794865034e+00	6.6131562551e+01	3.8405239017e+00
1.3246206000e+01	4.3125551763e-26	1.1730905592e-26	1.0000000000e+00	1.9339376820e+00	6.6357105108e+01	3.8403130771e+00
1.8221672000e+01	2.9896341919e-26	6.4786834490e-27	1.0000000000e+00	1.9051021558e+00	6.9459607970e+01	3.8404339013e+00
2.5065996000e+01	2.2892051373e-26	1.4957783129e-27	1.0000000000e+00	1.9729418302e+00	7.1455335237e+01	3.8402872376e+00
3.4481147000e+01	1.3595383029e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400317444e+00
4.7432764000e+01	2.0512460942e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402568624e+00
6.5249196000e+01	6.4218321696e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8403041341e+00
8.9757737000e+01	1.3565613902e-25	1.1802212162e-26	1.0000000000e+00	1.8717937992e+00	7.1288554884e+01	3.8404799135e+00
1.2347204000e+02	1.1706159201e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401208204e+00
1.6984993000e+02	5.6525542390e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401222433e+00
2.3364801000e+02	3.7872328929e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401011119e+00
3.2140958000e+02	3.5612877866e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400516440e+00
4.4213567000e+02	4.5993104405e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400532785e+00
6.0820822000e+02	6.9605239058e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401889915e+00
8.3666003000e+02	1.1047896510e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401431776e+00
1.1509216000e+03	1.8212931043e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401429377e+00
1.5832244000e+03	2.8907964406e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401621390e+00
2.1779064000e+03	4.3505225691e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400481327e+00
2.9959596000e+03	6.7876507537e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401130101e+00
4.1212853000e+03	1.1265733679e-24	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400429601e+00
5.6692996000e+03	1.9046285072e-24	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402145408e+00
7.7987706000e+03	3.2254923538e-24	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400006210e+00
1.0728102000e+04	5.4605296029e-24	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402585387e+00
1.4757732000e+04	9.2709215707e-24	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401395155e+00
2.0300949000e+04	1.5825696953e-23	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401039692e+00
2.7926279000e+04	2.7163850204e-23	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400028516e+00
3.8415793000e+04	4.6882239836e-23	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401770490e+00
5.2845320000e+04	8.0729676721e-23	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402305192e+00
7.2694787000e+04	1.4109951332e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402994361e+00
