mDM_GeV	ours_sigmav95_cm3_s	calore_covnone_sigmav95_cm3_s	ours_over_calore	best_L_kpc	best_sigmav_cm3_s	lr_at_limit
1.3246206000e+01	4.3125551763e-26	4.9935596276e-26	8.6362344658e-01	1.9339376820e+00	1.1730905592e-26	3.8403130771e+00
1.8221672000e+01	2.9896341919e-26	3.3563690126e-26	8.9073465423e-01	1.9051021558e+00	6.4786834490e-27	3.8404339013e+00
2.5065996000e+01	2.2892051373e-26	2.2754596408e-26	1.0060407560e+00	1.9729418302e+00	1.4957783129e-27	3.8402872376e+00
3.4481147000e+01	1.3595383029e-26	1.2580704192e-26	1.0806535804e+00	2.0084652687e+00	0.0000000000e+00	3.8400317444e+00
4.7432764000e+01	2.0512460942e-26	2.1208360430e-26	9.6718749239e-01	2.0084652687e+00	0.0000000000e+00	3.8402568624e+00
6.5249196000e+01	6.4218321696e-26	4.8542970302e-26	1.3229170217e+00	2.0084652687e+00	0.0000000000e+00	3.8403041341e+00
8.9757737000e+01	1.3565613902e-25	1.1558327638e-25	1.1736658042e+00	1.8717937992e+00	1.1802212162e-26	3.8404799135e+00
1.2347204000e+02	1.1706159201e-25	1.1551118892e-25	1.0134221031e+00	2.0084652687e+00	0.0000000000e+00	3.8401208204e+00
1.6984993000e+02	5.6525542390e-26	9.4993951436e-26	5.9504359526e-01	2.0084652687e+00	0.0000000000e+00	3.8401222433e+00
2.3364801000e+02	3.7872328929e-26	7.1933679197e-26	5.2648952969e-01	2.0084652687e+00	0.0000000000e+00	3.8401011119e+00
3.2140958000e+02	3.5612877866e-26	6.1364157053e-26	5.8035308519e-01	2.0084652687e+00	0.0000000000e+00	3.8400516440e+00
4.4213567000e+02	4.5993104405e-26	6.0544388329e-26	7.5965924629e-01	2.0084652687e+00	0.0000000000e+00	3.8400532785e+00
6.0820822000e+02	6.9605239058e-26	7.6555593388e-26	9.0921167191e-01	2.0084652687e+00	0.0000000000e+00	3.8401889915e+00
8.3666003000e+02	1.1047896510e-25	1.1465318400e-25	9.6359264737e-01	2.0084652687e+00	0.0000000000e+00	3.8401431776e+00
1.1509216000e+03	1.8212931043e-25	1.6789634597e-25	1.0847723301e+00	2.0084652687e+00	0.0000000000e+00	3.8401429377e+00
1.5832244000e+03	2.8907964406e-25	2.1375724850e-25	1.3523735269e+00	2.0084652687e+00	0.0000000000e+00	3.8401621390e+00
2.1779064000e+03	4.3505225691e-25	4.1200186198e-25	1.0559473077e+00	2.0084652687e+00	0.0000000000e+00	3.8400481327e+00
2.9959596000e+03	6.7876507537e-25	5.1223193687e-25	1.3251127595e+00	2.0084652687e+00	0.0000000000e+00	3.8401130101e+00
4.1212853000e+03	1.1265733679e-24	8.8891683610e-25	1.2673551925e+00	2.0084652687e+00	0.0000000000e+00	3.8400429601e+00
5.6692996000e+03	1.9046285072e-24	1.4339537939e-24	1.3282356205e+00	2.0084652687e+00	0.0000000000e+00	3.8402145408e+00
7.7987706000e+03	3.2254923538e-24	2.3630116071e-24	1.3649921753e+00	2.0084652687e+00	0.0000000000e+00	3.8400006210e+00
