mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
7.0000000000e+00	nan	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	0.0000000000e+00
9.6293012000e+00	nan	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	0.0000000000e+00
1.3246206000e+01	6.4736931691e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401168114e+00
1.8221672000e+01	3.0270432762e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400447542e+00
2.5065996000e+01	3.5615864947e-22	3.5808028194e-24	1.0000000000e+00	2.0084652687e+00	7.1532883694e+01	3.8401708370e+00
3.4481147000e+01	5.0394310507e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401118823e+00
4.7432764000e+01	9.1272978691e-22	8.7627190539e-23	1.0000000000e+00	1.9425169718e+00	7.1309891860e+01	3.8401073065e+00
6.5249196000e+01	5.3796008926e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402291192e+00
8.9757737000e+01	6.3505389210e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401091331e+00
1.2347204000e+02	3.3758666883e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402299362e+00
1.6984993000e+02	3.2087596870e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402117718e+00
2.3364801000e+02	1.7442673874e-22	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401660673e+00
3.2140958000e+02	9.9124500617e-23	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400356701e+00
4.4213567000e+02	7.1287827485e-23	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401182034e+00
6.0820822000e+02	6.2870417391e-23	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402202078e+00
8.3666003000e+02	6.7610144919e-23	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401462551e+00
