L_kpc	mDM_GeV	R_GV	flux
1	7	1.37331724e-01	0.00000000e+00
1	7	1.39801434e-01	0.00000000e+00
1	7	1.42315558e-01	0.00000000e+00
1	7	1.44874895e-01	0.00000000e+00
1	7	1.47480258e-01	0.00000000e+00
1	7	1.50132474e-01	0.00000000e+00
1	7	1.52832387e-01	0.00000000e+00
1	7	1.55580853e-01	0.00000000e+00
1	7	1.58378747e-01	0.00000000e+00
1	7	1.61226957e-01	0.00000000e+00
1	7	1.64126387e-01	0.00000000e+00
1	7	1.67077960e-01	0.00000000e+00
1	7	1.70082612e-01	0.00000000e+00
1	7	1.73141299e-01	0.00000000e+00
1	7	1.76254991e-01	0.00000000e+00
1	7	1.79424679e-01	0.00000000e+00
1	7	1.82651369e-01	0.00000000e+00
1	7	1.85936087e-01	0.00000000e+00
1	7	1.89279875e-01	0.00000000e+00
1	7	1.92683796e-01	0.00000000e+00
1	7	1.96148932e-01	0.00000000e+00
1	7	1.99676383e-01	0.00000000e+00
1	7	2.03267270e-01	0.00000000e+00
1	7	2.06922734e-01	0.00000000e+00
1	7	2.10643936e-01	0.00000000e+00
1	7	2.14432059e-01	0.00000000e+00
1	7	2.18288306e-01	0.00000000e+00
1	7	2.22213901e-01	0.00000000e+00
1	7	2.26210092e-01	0.00000000e+00
1	7	2.30278150e-01	0.00000000e+00
1	7	2.34419365e-01	0.00000000e+00
1	7	2.38635054e-01	0.00000000e+00
1	7	2.42926555e-01	0.00000000e+00
1	7	2.47295234e-01	0.00000000e+00
1	7	2.51742476e-01	0.00000000e+00
1	7	2.56269696e-01	0.00000000e+00
1	7	2.60878331e-01	0.00000000e+00
1	7	2.65569845e-01	0.00000000e+00
1	7	2.70345730e-01	0.00000000e+00
1	7	2.75207502e-01	0.00000000e+00
1	7	2.80156706e-01	0.00000000e+00
1	7	2.85194914e-01	0.00000000e+00
1	7	2.90323726e-01	0.00000000e+00
1	7	2.95544773e-01	0.00000000e+00
1	7	3.00859713e-01	0.00000000e+00
1	7	3.06270234e-01	0.00000000e+00
1	7	3.11778056e-01	0.00000000e+00
1	7	3.17384927e-01	0.00000000e+00
1	7	3.23092630e-01	0.00000000e+00
1	7	3.28902978e-01	0.00000000e+00
1	7	3.34817816e-01	0.00000000e+00
1	7	3.40839024e-01	0.00000000e+00
1	7	3.46968515e-01	0.00000000e+00
1	7	3.53208235e-01	0.00000000e+00
1	7	3.59560168e-01	0.00000000e+00
1	7	3.66026331e-01	0.00000000e+00
1	7	3.72608778e-01	0.00000000e+00
1	7	3.79309601e-01	0.00000000e+00
1	7	3.86130928e-01	0.00000000e+00
1	7	3.93074927e-01	0.00000000e+00
