mDM_GeV	tautau95_cm3_s	bb95_nearest_cm3_s	tautau_over_bb	bb_nearest_mDM_GeV
1.3246206000e+01	6.4736931691e-22	4.3125551763e-26	1.5011270359e+04	1.3246206000e+01
1.8221672000e+01	3.0270432762e-22	2.9896341919e-26	1.0125129303e+04	1.8221672000e+01
2.5065996000e+01	3.5615864947e-22	2.2892051373e-26	1.5558179722e+04	2.5065996000e+01
3.4481147000e+01	5.0394310507e-22	1.3595383029e-26	3.7067223777e+04	3.4481147000e+01
4.7432764000e+01	9.1272978691e-22	2.0512460942e-26	4.4496357092e+04	4.7432764000e+01
6.5249196000e+01	5.3796008926e-22	6.4218321696e-26	8.3770499610e+03	6.5249196000e+01
8.9757737000e+01	6.3505389210e-22	1.3565613902e-25	4.6813501894e+03	8.9757737000e+01
1.2347204000e+02	3.3758666883e-22	1.1706159201e-25	2.8838380124e+03	1.2347204000e+02
1.6984993000e+02	3.2087596870e-22	5.6525542390e-26	5.6766543961e+03	1.6984993000e+02
2.3364801000e+02	1.7442673874e-22	3.7872328929e-26	4.6056512412e+03	2.3364801000e+02
3.2140958000e+02	9.9124500617e-23	3.5612877866e-26	2.7833892276e+03	3.2140958000e+02
4.4213567000e+02	7.1287827485e-23	4.5993104405e-26	1.5499677268e+03	4.4213567000e+02
6.0820822000e+02	6.2870417391e-23	6.9605239058e-26	9.0324260418e+02	6.0820822000e+02
8.3666003000e+02	6.7610144919e-23	1.1047896510e-25	6.1197301095e+02	8.3666003000e+02
