series	mDM_GeV	sigmav95_cm3_s
bb	7.0000000000e+00	9.6850406931e-25
bb	9.6293012000e+00	1.3854881956e-25
bb	1.3246206000e+01	4.3125551763e-26
bb	1.8221672000e+01	2.9896341919e-26
bb	2.5065996000e+01	2.2892051373e-26
bb	3.4481147000e+01	1.3595383029e-26
bb	4.7432764000e+01	2.0512460942e-26
bb	6.5249196000e+01	6.4218321696e-26
bb	8.9757737000e+01	1.3565613902e-25
bb	1.2347204000e+02	1.1706159201e-25
bb	1.6984993000e+02	5.6525542390e-26
bb	2.3364801000e+02	3.7872328929e-26
bb	3.2140958000e+02	3.5612877866e-26
bb	4.4213567000e+02	4.5993104405e-26
bb	6.0820822000e+02	6.9605239058e-26
bb	8.3666003000e+02	1.1047896510e-25
bb	1.1509216000e+03	1.8212931043e-25
bb	1.5832244000e+03	2.8907964406e-25
bb	2.1779064000e+03	4.3505225691e-25
bb	2.9959596000e+03	6.7876507537e-25
bb	4.1212853000e+03	1.1265733679e-24
bb	5.6692996000e+03	1.9046285072e-24
bb	7.7987706000e+03	3.2254923538e-24
bb	1.0728102000e+04	5.4605296029e-24
bb	1.4757732000e+04	9.2709215707e-24
bb	2.0300949000e+04	1.5825696953e-23
bb	2.7926279000e+04	2.7163850204e-23
bb	3.8415793000e+04	4.6882239836e-23
bb	5.2845320000e+04	8.0729676721e-23
bb	7.2694787000e+04	1.4109951332e-22
tautau	1.3246206000e+01	6.4736931691e-22
tautau	1.8221672000e+01	3.0270432762e-22
tautau	2.5065996000e+01	3.5615864947e-22
tautau	3.4481147000e+01	5.0394310507e-22
tautau	4.7432764000e+01	9.1272978691e-22
tautau	6.5249196000e+01	5.3796008926e-22
tautau	8.9757737000e+01	6.3505389210e-22
tautau	1.2347204000e+02	3.3758666883e-22
tautau	1.6984993000e+02	3.2087596870e-22
tautau	2.3364801000e+02	1.7442673874e-22
tautau	3.2140958000e+02	9.9124500617e-23
tautau	4.4213567000e+02	7.1287827485e-23
tautau	6.0820822000e+02	6.2870417391e-23
tautau	8.3666003000e+02	6.7610144919e-23
